timestamp,time_rel_lead,vehicle_speed_mph_lead,eng_speed_rpm_lead,pedal_per_lead,gap_m_lead,latitude_deg_lead,longitude_deg_lead,axle_torque_ch_0_V_lead,axle_torque_ch_1_V_lead,time_rel_following,vehicle_speed_mph_following,eng_speed_rpm_following,pedal_per_following,gap_m_following,latitude_deg_following,longitude_deg_following,axle_torque_ch_0_V_following,axle_torque_ch_1_V_following,gps_dist_car1_car2
2019-08-13 16:16:16,296.2999999999917,2.148793227270525,625.0,0.0,,41.704131333333336,-87.97536583333333,-1.1399928085483406,-1.148156830965745,247.2999999999945,1.2376937390812512,709.25,0.0,655.3375,41.704075083333336,-87.97556533333335,-1.1915545412088249,-0.9540150786635786,17.741491343138286
2019-08-13 16:16:17,296.99999999999164,1.8356340571249998,616.6666666666666,0.0,,41.704131,-87.97537683333331,-1.5147035385394705,-1.5188608220187598,247.99999999999446,1.3887646096499997,704.0833333333334,0.0,655.3333333333334,41.704080833333336,-87.97557016666669,-1.3639803088221623,-1.0927339760873778,17.02915529595618
2019-08-13 16:16:18,297.6999999999917,1.9912958251692,606.5,0.0,,41.704124166666666,-87.97538816666666,-2.0726935260249597,-2.0718578830637853,248.69999999999442,1.468377793368751,705.25,0.0,655.35,41.7040855,-87.97557433333333,-1.7412233698917408,-1.3915147255389455,16.079426998289517
2019-08-13 16:16:19,298.49999999999164,1.6713448090123124,614.5,0.0,,41.70411766666667,-87.97539549999999,-2.145776862882703,-2.143716737316572,249.4999999999944,1.6427500835625002,704.75,0.0,655.345,41.70408733333333,-87.97557666666668,-1.8923235851772187,-1.5549277204909595,15.45091289719605
2019-08-13 16:16:20,299.2999999999916,2.1917470642072496,623.0,0.0,,41.70411266666667,-87.975398,-2.1877940858399234,-2.185845862365895,250.29999999999436,1.5134272046437505,699.75,0.0,334.9625,41.70408716666667,-87.9755775,-0.2777422817303886,-0.25456485949704066,15.20648993267576
2019-08-13 16:16:21,300.09999999999155,2.1218094066307875,649.0,0.0,,41.704107666666665,-87.9754005,-2.183532950778754,-2.181442233273774,251.09999999999428,1.2656554426312518,698.25,0.0,335.4125,41.704087,-87.97557833333332,1.3318078898292152,1.301288581168483,14.978611925866632
2019-08-13 16:16:22,300.8999999999915,0.5270105378005875,629.5,0.0,,41.70409266666667,-87.97540716666668,-2.20634729170044,-2.2042638196546616,251.89999999999424,0.4838928142124997,702.25,0.0,655.345,41.704086833333335,-87.97557883333332,1.32749239308112,1.2741514718016695,14.303098212068607
2019-08-13 16:16:23,301.6999999999914,0.0,643.5,0.0,,41.70408533333333,-87.975409,-2.207771426958934,-2.205372374912404,252.6999999999942,0.03262198747500013,711.75,0.0,655.3475,41.70408666666667,-87.97557933333331,1.2746100887090144,1.2472938697619247,14.17821294610253
2019-08-13 16:16:24,302.3999999999914,0.0,643.3333333333334,0.0,,41.704079666666665,-87.975411,-2.2063540004589597,-2.2039699760315123,253.39999999999415,0.0,722.0833333333334,0.0,655.34,41.70408666666667,-87.97557966666666,1.1532915933045054,1.079361369840335,14.060229627786518
2019-08-13 16:16:25,303.0999999999913,0.0,648.0,0.0,,41.70407566666667,-87.975411,-2.2187088501482504,-2.2161930657034827,254.09999999999408,0.0,693.75,0.0,163.8375,41.70408483333333,-87.97557833333332,1.2165384256007383,0.9313429637903756,13.964902995512098
